date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:38:39	64326/64326	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2013:39:48%20GMT	https://www.ivoryhash.com/	C:/My%20Web%20Sites/ivoryhash/www.ivoryhash.com/index.html	(from )
04:38:39	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%226443b4ae-1a%22	https://www.ivoryhash.com/robots.txt		(from )
04:38:40	9278/9278	---M-Z	200	added ('OK')	image/x-icon	etag:W/%226443b4ae-243e%22	https://www.ivoryhash.com/favicon.ico	C:/My%20Web%20Sites/ivoryhash/www.ivoryhash.com/favicon.ico	(from https://www.ivoryhash.com/)
04:38:40	651/651	---M--	200	added ('OK')	image/png	etag:%226443b4ac-28b%22	https://www.ivoryhash.com/favicon-16x16.png	C:/My%20Web%20Sites/ivoryhash/www.ivoryhash.com/favicon-16x16.png	(from https://www.ivoryhash.com/)
04:38:41	1808/1808	---M--	200	added ('OK')	image/png	etag:%226443b4ac-710%22	https://www.ivoryhash.com/favicon-32x32.png	C:/My%20Web%20Sites/ivoryhash/www.ivoryhash.com/favicon-32x32.png	(from https://www.ivoryhash.com/)
04:38:42	12385/12385	---M--	200	added ('OK')	image/png	etag:%226443b4ac-3061%22	https://www.ivoryhash.com/apple-touch-icon.png	C:/My%20Web%20Sites/ivoryhash/www.ivoryhash.com/apple-touch-icon.png	(from https://www.ivoryhash.com/)
04:38:43	447/447	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%226443b4ae-1bf%22	https://www.ivoryhash.com/site.webmanifest	C:/My%20Web%20Sites/ivoryhash/www.ivoryhash.com/site.webmanifest	(from https://www.ivoryhash.com/)
04:38:43	625504/625504	---M--	200	added ('OK')	image/jpeg	etag:%2264731b73-98b60%22	https://www.ivoryhash.com/assets/images/og-image.jpg	C:/My%20Web%20Sites/ivoryhash/www.ivoryhash.com/assets/images/og-image.jpg	(from https://www.ivoryhash.com/)
04:38:43	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Jun%202023%2013:39:53%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/ivoryhash/fonts.gstatic.com/index.html	(from https://www.ivoryhash.com/)
04:38:43	2749/2749	---MC-	200	added ('OK')	text/css	date:Wed,%2007%20Jun%202023%2013:39:53%20GMT	https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:ital,wght@0,300;0,400;0,500;0,600;0,700;0,800;1,300;1,400;1,600;1,700;1,800&display=swap	C:/My%20Web%20Sites/ivoryhash/fonts.googleapis.com/css2fea2.css	(from https://www.ivoryhash.com/)
04:38:43	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Jun%202023%2013:39:53%20GMT	https://fonts.googleapis.com/	C:/My%20Web%20Sites/ivoryhash/fonts.googleapis.com/index.html	(from https://www.ivoryhash.com/)
04:38:44	43979/43979	---M-Z	200	added ('OK')	text/css	etag:W/%22647f3dbf-abcb%22	https://www.ivoryhash.com/assets/styles/style.css?v=v13	C:/My%20Web%20Sites/ivoryhash/www.ivoryhash.com/assets/styles/style89f9.css	(from https://www.ivoryhash.com/)
04:38:44	1456/1456	---M-Z	200	added ('OK')	text/javascript	etag:W/%226443b4ae-5b0%22	https://www.ivoryhash.com/assets/scripts/countdown.js	C:/My%20Web%20Sites/ivoryhash/www.ivoryhash.com/assets/scripts/countdown.js	(from https://www.ivoryhash.com/)
04:38:44	38/38	---MCZ	302	error ('Found')	text/plain	date:Wed,%2007%20Jun%202023%2013:39:54%20GMT	https://unpkg.com/alpinejs	C:/My%20Web%20Sites/ivoryhash/unpkg.com/alpinejs.9.delayed	(from https://www.ivoryhash.com/)
